english,ekegusii,headword,contributor,date,source,url
Rice and beans is a meal loved by most children,Abana abange nigo baanchete omechere ne ching'ende,Ching'ende,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende
lablab beans are loved by the Kikuyu,chin'ende chia labalab nchianchire n'abaikoyo,Ching'ende chia lablab,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende-chia-lablab
We have never eaten the lima beans,ntwanyakoria ching'ende chia lima,Ching'ende chia lima,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende-chia-lima
They were told not to plant black beans,Bakanetigwe mbasimeka ching'ende mwamu,Ching'ende mwamu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende-mwamu
The culture of a people guides them,ching'endo chi'abanto chikobaraa,Ching'endo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/chingendo
She plants different kinds of vegetables at her farm,mogondo kwaye asimegete chingeni ao ao,Ching'eni,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingeni
They played very good music at the wedding I attended yesterday,Babegete chingero chingiya ase enyangi narenge igoro,Chingero,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/chingero
All the sheep were sold.,Ching'ondi chiaonetigwe chionsi.,Ching'ondi,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/chingondi
Hookworms feed on blood,Amanyinga naro endagera ye chinkegeta,Chinkegeta,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/chinkegeta
They are pretenders don't be deceived,Echio ne chinkondi nchikong'aina,Chinkondi,Anonymous,"November 15, 2022",lughayangu,https://lughayangu.com/ekegusii/chinkondi
Obama bought the spider plant worth ninety shillings,obama agorete chinsaga chia emerongo kianda,Chinsaga,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinsaga
The worker cut napier grass enough till tomorrow,omokori egasi atema chinsiaga ekori paka ankio,Chinsiaga,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinsiaga
Sodom apples are not eaten by humans,chintobo nchiri korigwa n'abanto,Chintobo,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chintobo
My dad gave the chicken some grains of maize,tata aruterete engoko chinyeke chi'ebituma,Chinyeke,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinyeke
They planted the cowpeas before the rains stopped,basimegete chinyeke chi'egesare embura etarasira,Chinyeke chi'egesare,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinyeke-chiegesare
Those vegatables are good,Ching'eni chiria n'echingiya,Chiria,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/chiria
They paid five hundred thousand as dowry,Baakanete amaari chiribu amagana atano,Chiribu amagana atano,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/chiribu-amagana-atano
I bought food worth two thousand yesterday evening,Nagorete endagera ye chiribu ibere igoro magoroba,Chiribu ibere,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chiribu-ibere
They bought grapes worth one hundred shillings,bagorete chisabibi chi'emii eyemo,Chisabibu,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/chisabibu
School closing date is fast approaching,Chitariki chi'ogosieka chisukuru chiaisire goika,Chitariki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chitariki
i have a date with my partner,nibwate chitariki nomwachi one,Chitariki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chitariki
Eight trillion is a very large sum of money,Chitririoni isano isato n'echibesa chinyinge,Chitririoni isano isato,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/chitririoni-isano-isato
A man that fell from the roof of the church broke his hip,Omosacha ogwete korwa ekanisa igoro n'abunete ebachu,Ebachu,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ebachu
All pupils climbed the tree to get the java plum,Abana b'esukuru bonsi barinete omote gotwa ebichambura,Ebichambura,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ebichambura
Bats like eating the african star apple.,ebitaboramato bianchete koria ebiranguati,Ebiranguati,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ebiranguati
Boiled maize goes well with tea,Ebituma biberirwe bigoansa n'echae,Ebituma,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ebituma
The millet's growth is patchy,Obori bw'amete ebituse,Ebituse,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ebituse
They took the tea to the factory,bairete echae etundubari,Echae,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/echae
My brother broke his finger while playing with his friends,Omomura ominto abunegete egechara kiaye ekero arenge gochesa n'abasani baye,Egechara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egechara
The chick was given the mash,Egechuchu nkiaegwa echenge,Egechuchu,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egechuchu
That is my chick,keria ne egechuchu kiane,Egechuchu,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egechuchu
A chimpazee's fingers resemble those of a human,egekena kebwate ebichara buna ebia mwanyabanto,Egekena,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/egekena
She bit her lip when she fell down,Aeromete egekoba ekero agwete inse,Egekoba,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/egekoba
A colobus usually has one offspring at a time,Egekondo gekonyora omwana oyomo bweka,Egekondo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egekondo
The lion ate the monkey's baby,endo yariete omwana bw'egekondo,Egekondo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egekondo
The boy has worn his watch on his wrist,Omomura obekire ensa ase egekonyi kiaye,Egekonyi,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egekonyi
The branch that dried up was used as firewood,egesabo kiaomete kiatumegete buna chinko,Egesabo,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesabo
The male cat was killed,ekemoni egesacha giaitetwe,Egesacha,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesacha
The calabash I had broke,egesanda nabwate giategete,Egesanda,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesanda
Bundi said that his porridge should be served in a calabash and left to cool,Bundi atebete abekerwe erongori yaye as'egesanda enya gokenda,Egesanda,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesanda
Grandfather loves eating cowpeas leaves,sokoro aanchete egasare,Egesare,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesare
the chicken chased the grasshopper and ate it,Engoko yamingogeti egesase egakeri,Egesase,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egesase
The axe has broken,Egesire kiabunekire,Egesire,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/egesire
The help used an axe to split the firewood,omokori egasi aateti chinko n'egesire,Egesire,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/egesire
The boy that brought the cow's home in the evening came with a cricket in his hand,Omomura oretete Ching'ombe nka marogoba aachete n'egesiriri koboko,Egesiriri,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egesiriri
This child waits every evening when darkness is about to set in to listen to the crickets.,Omwana oyo akoganya kera magoroba ekero egesunte giachakire nari ategerere ebisiriri.,Egesiriri,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egesiriri
December is the last month of the year,Egesunte gia masaba noro omotienyi bw'omoerio bw'omwaka,Egesunte gia masaba,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesunte-gia-masaba
The white rabbit is always eating,Egesusu ekerabu gekoragera kera chinsa,Egesusu,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesusu
The hare hopped alot,Egesusu giatumete mono,Egesusu,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesusu
The bed broke when they were moving to another house,Egetanda kiaye kiabunegete gakong'anya,Egetanda,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/egetanda
My brother took coffee before going to work.,Momura ominto nanyua ekagwa ataragenda emeremo.,Ekagwa,Ed,"August 2, 2026",lughayangu,https://lughayangu.com/ekegusii/ekagwa
My brother took coffee before going to work,momura ominto anyete ekahawa ataragenda gasi,Ekahawa,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekahawa
the kei apple stinks when it over ripens,ekayaba egotioka bobe gekotoba mono,Ekayaba,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekayaba
The Jackal knows how to take care of its young ones very well,Ekebwe kemenyete korenda abana baye,Ekebwe,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekebwe
A caterpillar is destructive.,Ekegangwa n'egesaria.,Ekegangwa,Micah Gesaka,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/ekegangwa
The old woman used her elbow to make way for herself,Omong'ina atumiete ekegokoro kiaye gosukia abanto aete,Ekegokoro,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekegokoro
See how he/she is dancing gracefully,Rora buna agotenga ekemanchingi,Ekemanchingi,ALECKY,"July 10, 2023",lughayangu,https://lughayangu.com/ekegusii/ekemanchingi
some weeds are food,ebimeria binde n'endagera,Ekemeria,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekemeria
The water hyacinth has beautiful flowers,ekemeria ki'amache kebwate amauga amaya,Ekemeria ki'amache,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekemeria-kiamache
black jacks have infested the farm,ebimogamogi biamire mogondo,Ekemogamogi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekemogamogi
this woman likes cats,omokungu oyo nigo achete ekemoni,Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
"The black cat caught a mouse outside, took it in the house and started playing with it",Ekemoni ekemwamu kiabwatete embeba korwa isiko gekaira nyomba gegachaka gochesa nero,Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
The cat has eaten the chicks.,Ekemoni kiarire ebichuchu.,Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
I have heard the silen.,Naigure ekeng'ore.,Ekeng'ore,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/ekengore
Her baby has learnt how to crawl,Ekeng'werere kiaye mbono kiamanyire koagura,Ekeng'werere,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/ekengwerere
The squirrel that lives in my grandma's compound took the groundnuts she had put out to dry,Ekenyamnyonge kemenyete ase risiko ria baba kiarete chichugu aanekerete isiko,Ekenyamnyonge,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyamnyonge
Their lineage has a long chin,Ororeri rwabo robwate ekenyinyiro egetambe,Ekenyinyiro,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyinyiro
The house's roof was dismantled,Ekerama ki'enyomba yaye giatagoretwe,Ekerama,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ekerama
The cripple that has been begging has started selling biscuits,Ekerema konya gesoberera giachagete kooni ebisuguti,Ekerema,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/ekerema
I felt hungry when I was sitting for my exams,naigwa enchara ekero narenge gokora amatemu,Ekero,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ekero
The flea jumped from the cat to the dog,Ekerombeta giacharogete korua ase ekemoni gochia esese,Ekerombeta,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekerombeta
The students started a maths club,abaorokigwa bachagetie ekeombe ki'esabu,Ekiombe,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/ekiombe
Let's go outside and get fresh air,Togende isiko tobwate embeo,Embeo,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/embeo
"When a tsetse fly bites you, you cannot help but sleep all the time",Ekero embogo yakoromire okoenyora gokorara chinsa chionsi,Embogo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/embogo
All her shoes are ankle high,ebikoroto biaye bionsi bigoika ase embong'i,Embong'i,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/embongi
Send me fifty shillings,Ntomere emerongo etano,Emerongo etano,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/emerongo-etano
My grandfather is ninety years old,Sokoro abatwe emiaka emorongo kianda,Emerongo kianda,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/emerongo-kianda
he bought land worth one million,Agorete omogondo bw'emirioni eyemo,Emirioni eyemo,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/emirioni-eyemo
once cooked the slender leaves(mto) became very slimy,emitoo ekero yayiete yare korandororoka,Emitoo,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/emitoo
The bamboo grass grows at my grandma's,emoti eamete o baba,Emoti,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/emoti
Kemuma wore a black dress to the funeral,Kemuma abegete eyanga emwamu gochia amatanga,Emwamu,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/emwamu
vine spinach is cooked together with the pumpkin leaves,enderema ekoiyekwa ne risosa,Enderema,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/enderema
The lion is very stubborn,Endo nentindi bobe.,Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
The gazelle was eaten by the lion,Egechure ekiarietwe ne endo,Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
A lion has arrived.,Endo yaikire.,Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
Mother bought three packets of wheat flour,mama agorete amasi y'engano atato,Engano,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/engano
The month of october has thirty one days,Omotienyi bw'eng'atiato obwate amatuko emerongo atato n'emo,Eng'atiato,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/engatiato
They pulled the damaged boat to the shore for repair,Bang'usete obwato bwasaregete gochia engegu korosigwa,Engegu,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/engegu
We were instructed to plant only one bean and one maize seed per hole,twatebetigwe tosimeke eng'ende eyemo ne egetuma ekemo ase engoro,Eng'ende,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/engende
There was a housefly disturbing the baby while asleep,Engi yarenge gochanda omwana karaire,Engi,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/engi
The baboon ate all the bananas,Engoge yariete amatoke onsi,Engoge,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/engoge
Ten years have gone by since the black cow was purchased,Emiaka ikomi yaetire korwa eng'ombe eria emwamu yagoretwe,Eng'ombe,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/engombe
The mole destroyed all the potatoes that were at the farm,Eng'uko yasarieti ebiasi bionsi biarenge mogondo,Eng'uko,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enguko
It is cold today,Rero ne enkendu,Enkendu,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enkendu
the tapeworm can live in the intestine for many years,enkene nabo ekomenya emiaka emenge amara ime,Enkene,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/enkene
my kid has a good heart,omwana one abwate onkoro engiya,Enkoro,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enkoro
A safari ant bit the baby's leg while crawling outside,Ensanako yaromete okogoro kw'omwana orenge koagura isiko,Ensanako,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ensanako
This cockroach had become a menace,Ensogono eye konya yanchandire,Ensogono,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ensogono
Fish with Ugali is a very delicious meal,Ensu n'obokima n'endagera egwansa mono,Ensu,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ensu
My grandfather told me that I will be more intelligent if I eat the fish head.,Sokoro yane antebetie buna ginkori omotwe bwe ensu nario ndamente omongaini.,Ensu,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ensu
They informed us yesterday that the transmission rates are high in the ten to nineteen age group,Igoro batabete abana b'emiaka ikomi kogenderera mpaka ikomi na kianda nabwo bakoambokerania enyamoreo mono,Enyamoreo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/enyamoreo
It is HIV/AIDS that has killed them.,Enyamoreo Nero yabaita,Enyamoreo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/enyamoreo
That hyena does not have one ear,Enyangau eria tebwati goto komo,Enyangau,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/enyangau
Maangi donated his kidney to his son,Maangi nakonya omwana oye omomura enyigo yaye eyemo,Enyigo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyigo
The fighting stick he made yesterday has broken,enyimbo aroseti igoro yabunekire,Enyimbo,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/enyimbo
My house does not have a door.,Enyomba yane tebwati gesieri.,Enyomba,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/enyomba
Her buttock is so jiggly,Enyonga yaye ekonyegera mono,Enyonga,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyonga
that girl has got big buttocks,omoiseke ori abwate enyonga enene,Enyonga,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyonga
Many youth don't want to get into marriage nowadays,Abasae abange ase bono mbatagetie gosoa ase enywomo,Enywomo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/enywomo
They used the cooking pan to fry eggs then washed it,bakarangerete amagena ase epani bakamanya konyesibi,Epani,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/epani
They denied Jesus then he was crucified,bamokanete Yeso erio akabambwa,Erio,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/erio
The preacher used the microphone to amplify his voice,Omorandi atumiete rikondo nario eriogi riaye riigueke buya,Eriogi,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/eriogi
Moindi worships God on Saturday,Moindi agosasima Nyasae esabato,Esabato,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/esabato
All of my siblings were born in January,Abana baminto bonsi baiboirwe esagati,Esagati,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esagati
a lot of papyrus reeds have grown at the spring,esasasti yamerire enyinge ase ensoko,Esasati,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/esasati
The war that was in that country caused many deaths,esegi yarenge ense eria taitete abanto abange,Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
He/she started the fight,Achagete esegi,Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
Give him/her a cellphone,moe esimi,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Where is my phone?,Esimi yane ng'ai ere,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
tea cooked with lemon grass has a sweet aroma,echae ebekire etangawisi ebwate rimusu rigiya,Etangawisi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/etangawisi
The heavy rains caused floods,Embura yatuete enyinge yaretete etoigo,Etoigo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/etoigo
Floods occur in the month of April,Etoigo nigo ekoba omotienyi okane,Etoigo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/etoigo
That girl loves plaiting her black hair,Omoiseke ori aanchete komina etuki yaye emwamu,Etuki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/etuki
My mom has black hair,Mama abwate etuki emwamu,Etuki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/etuki
Wise people save money for difficult times,Abanto abang'aini nigo bakogacha chipesa ase engencho yechingaki chiobokong'u,Gacha,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/gacha
They wore yellow dresses to the wedding,babegete chianga chire gesicha gochia enyangi,Gesicha,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/gesicha
Emma went to the market,Emma agenda gochia echiro,Gochia,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/gochia
We wrote the book until the end,twarika egetabu gioka omoerio,Goika,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/goika
Tell me when you arrive,Ntebi kere o goika,Goika,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/goika
Should we buy soda or milk?,Togore esota gose amabere?,Gose,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/gose
The teacher asked her kids to help tear old papers,Omwarimu arangeretie abana baye bamokonye gotandora amasakara amagotu,Gotandora,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/gotandora
Have a seat over there,Ikaransa iga abwo,Ikaransa,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ikaransa
they have ten chairs,abwate ebirogo ikomi,Ikomi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ikomi
They are hiding in the house,baebisete ime y'enyomba,Ime ya,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ime-ya
I do not want to go for a walk,Inche tintageti kogenda gotara,Inche,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/inche
he thinks everyone is beneath him,akagerete kera omonto are inse yaye,Inse yaye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/inse-yaye
We tilled our farm,intwe ntwarema omogondo oito,Intwe,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/intwe
