ref,book,chapter,verse,english,ekegusii,swahili,source,eng_words,eke_words,swa_words,story_id,page,needs_review
1CH 10:6,1CH,10.0,6.0,So Saul died together with his three sons and all his house. The Philistines Possess the Towns (1 Samuel 31:7–10),"Naboigo Saulo agakwa, ere na abamura baye batato amo nabaanto baye bonsi.","Kwa hiyo Sauli na wanawe watatu wakafa, pamoja na nyumba yake yote.",bible_ebible,20.0,12.0,12.0,,,
1CH 10:7,1CH,10.0,7.0,"When all the Israelites in the valley saw that the army had fled and that Saul and his sons had died, they abandoned their cities and ran away. So the Philistines came and occupied their cities.","Ekero Abaisraeli bonsi abarenge ase ense eria omweremo baroche ng’a abarwani ’esegi babo batamire, na ng’a Saulo na abamura baye bakuure, bagatiga emechie yabo bagatama. Erio Abafirisiti bagacha, bakamenya ase emechie eyio.","Waisraeli wote waliokuwa bondeni walipoona kwamba jeshi limekimbia na kwamba Sauli na wanawe wamekufa, waliacha miji yao wakakimbia. Nao Wafilisti wakaja na kukaa humo.",bible_ebible,36.0,32.0,24.0,,,
1CH 10:8,1CH,10.0,8.0,"The next day, when the Philistines came to strip the dead, they found Saul and his sons fallen on Mount Gilboa.","Rituko ria kabere, ekero Abafirisiti bachete konuura ebinto korwa ase emebere y’abanto bakwete, bakanyora Saulo amo nabamura baye bakwete agwo ase egetunwa kia Giliboa.","Kesho yake Wafilisti walipokuja kuwavua maiti silaha, walimkuta Sauli na wanawe wameanguka katika Mlima Gilboa.",bible_ebible,21.0,24.0,15.0,,,
1CH 10:9,1CH,10.0,9.0,"They stripped Saul, cut off his head, took his armor, and sent messengers throughout the land of the Philistines to proclaim the news in the temple of their idols and among their people.","Bakamonuura ebinto biaye, bakanacha omotwe oye bakayoira, bakaira nebirwanero biaye, erio bagatoma abanto bararie amang’ana aya amaya ase ense yonsi y’Abafilisti, ase emegwekano yabo y’ogosasimwa na ase abanto.","Wakamvua mavazi, wakachukua kichwa chake pamoja na silaha zake, wakawatuma wajumbe katika nchi yote ya Wafilisti kutangaza habari hizi miongoni mwa sanamu zao na watu wao.",bible_ebible,33.0,28.0,26.0,,,
1CH 11:1,1CH,11.0,1.0,"Then all Israel came together to David at Hebron and said, “Here we are, your own flesh and blood.","Erio Abaisraeli bonsi bagasangerereka ase Daudi agwo Heburoni bakamoteebia, “Naama! Intwe nigo tore abamo naye, aba amanyinga ayamo, na omobere oyomo.","Israeli yote walimjia Daudi kwa pamoja huko Hebroni wakamwambia, “Sisi ni nyama yako na damu yako.",bible_ebible,19.0,21.0,16.0,,,
1CH 11:10,1CH,11.0,10.0,"Now these were the chiefs of David’s mighty men, who, together with all Israel, bolstered and strengthened his kingdom, according to the word of the LORD concerning Israel.","Aba nabwo abanto abanene chituoni ba Daudi, baria bamosiirete bokong’u ase oborwoti bwaye, amo n’Abaisraeli bonsi bakamobeeka akaba omorwoti, koreng’ana ne ring’ana ri’Omonene igoro y’Abaisraeli.","Hawa ndio waliokuwa wakuu wa mashujaa wa Daudi: wao pamoja na Israeli wote wakauimarisha ufalme wake ili kuenea katika nchi yote, kama Bwana alivyoahidi.",bible_ebible,28.0,25.0,24.0,,,
1CH 11:11,1CH,11.0,11.0,"This is the list of David’s mighty men: Jashobeam son of Hachmoni was chief of the officers; he wielded his spear against three hundred men, whom he killed at one time.",Oyo noro omobaro bw’abaanto chituoni ba Daudi: Ritang’ani Yasobeamu korwa Hakimoni. Ere nigo arenge omonene bwa baria batato. Ere akarwania abanto amagana atato ne ritimo riaye akabaita ase engaki eyemo.,"Hii ndio orodha ya mashujaa wa Daudi: Yashobeamu, Mhakmoni, alikuwa mkuu wa maafisa; yeye aliinua mkuki wake dhidi ya watu 300, ambao aliwaua katika pambano moja.",bible_ebible,31.0,30.0,26.0,,,
1CH 11:12,1CH,11.0,12.0,"Next in command was Eleazar son of Dodo the Ahohite, one of the three mighty men.","Na oyo o kabere bw’abwo batato n’Eleazari, mosinto o Dodo, Omoahohi.","Aliyefuata alikuwa Eleazari, mwana wa Dodai, Mwahohi, mmojawapo wa wale mashujaa watatu.",bible_ebible,16.0,11.0,12.0,,,
1CH 11:13,1CH,11.0,13.0,"He was with David at Pas-dammim when the Philistines gathered there for battle. At the place with a field full of barley, the troops fled from the Philistines.","Ere nigo arenge amo na Daudi agwo Pasi‐Damimu ekero Abafirisiti basangererekanete amo, barwane esegi aase omogondo bw’esairi orenge. Ekero abanto batamete korwa ase Abafirisiti,","Huyo alikuwa pamoja na Daudi huko Pas-Damimu, wakati Wafilisti walikusanyika huko kwa ajili ya vita. Huko ambapo kulikuwa na shamba lililokuwa limejaa shayiri, vikosi vya Israeli vikawakimbia Wafilisti.",bible_ebible,28.0,24.0,28.0,,,
1CH 11:14,1CH,11.0,14.0,"But Eleazar and David stationed themselves in the middle of the field and defended it. They struck down the Philistines, and the LORD brought about a great victory.","Eleazari agatenena gati gati y’omogondo oria, akaba omokong’u akayoegera, agaaka Abafirisiti, akabaita. Omonene akabaa obobui obonene.","Lakini Eleazari na Daudi wakasimama imara katikati ya lile shamba, nao wakalishindania na wakawaua Wafilisti. Naye Bwana akawapa ushindi mkubwa.",bible_ebible,28.0,16.0,20.0,,,
1CH 11:15,1CH,11.0,15.0,"Three of the thirty chief men went down to David, to the rock at the cave of Adullam, while a company of Philistines was encamped in the Valley of Rephaim.","Rituko erimo abanto batato ba baria abanene emerongo etato bagatirimboka gochia ase egetare, bakagenda ase Daudi agwo ase rikuruma ri’Adulamu, ekero abasikari b’Abafilisti batoorete ase ense omweya y’Abarefai.","Wakuu watatu miongoni mwa wale thelathini, walimwendea Daudi katika mwamba huko kwenye pango la Adulamu, wakati kikundi cha Wafilisti kilikuwa kimepiga kambi katika Bonde la Warefai.",bible_ebible,30.0,28.0,26.0,,,
1CH 11:16,1CH,11.0,16.0,"At that time David was in the stronghold, and the garrison of the Philistines was at Bethlehem.","Ase engaki eria Daudi nigo arenge ime ase eburi, na abasikari b’Abafilisti nigo barenge Bethlehemu.","Wakati huo Daudi alikuwa katika ngome, na kambi ya Wafilisti ilikuwa huko Bethlehemu.",bible_ebible,17.0,15.0,13.0,,,
1CH 11:17,1CH,11.0,17.0,"David longed for water and said, “Oh, that someone would get me a drink of water from the well near the gate of Bethlehem!”","Daudi akabora ase okogania okonene, “Ntare konyora omonto andetere amaache inywe korwa ase ensoko eyio ere ase egeita kia Bethlehemu?”","Daudi akatamani maji, akasema, “Laiti mtu angenipatia maji ya kunywa kutoka kisima kilichoko karibu na lango la Bethlehemu!”",bible_ebible,24.0,20.0,18.0,,,
1CH 11:18,1CH,11.0,18.0,"So the Three broke through the Philistine camp, drew water from the well at the gate of Bethlehem, and brought it back to David. But he refused to drink it; instead, he poured it out to the LORD,","Erio abanto baria batato bakabinya‐binyia egati y’Abafilisti aase batoorete, bakabuucha amaache korwa ase ensoko eria yarenge ase egeita kia Bethlehemu, bakayairera Daudi. Korende Daudi tayanywa otatiga ayaumorete akaba okoruegwa gw’ekenyugwa ase Omonene,","Kwa hivyo wale watatu, wakapita katikati ya safu za Wafilisti, wakachota maji kutoka kwa kisima kilicho karibu na lango la Bethlehemu, wakamletea Daudi. Lakini yeye akakataa kuyanywa. Badala yake, aliyamimina mbele za Bwana.",bible_ebible,38.0,32.0,33.0,,,
1CH 11:19,1CH,11.0,19.0,"saying, “Far be it from me, my God, to do this! How can I drink the blood of these men who risked their lives?” Because they had brought it at the risk of their lives, David refused to drink it. Such were the exploits of the three mighty men.","akabora, “Omonene ontange tiyanywa. Aya nigo anga buna nkonywa amanyinga ’abaanto bataegerete obogima bwabo ase okorenta amaache aya.” Ase ayio akaanga tayanywa. Ayio naro abanto abwo chituoni batato bakorete.","Akasema, “Mungu apishie mbali kwamba nifanye hivi! Je kweli, niinywe damu ya watu hawa waliohatarisha maisha yao?” Kwa sababu walihatarisha maisha yao kuyaleta yale maji, Daudi hakukubali kuyanywa. Huo ndio uliokuwa ujasiri wa wale mashujaa watatu.",bible_ebible,49.0,29.0,36.0,,,
1CH 11:2,1CH,11.0,2.0,"Even in times past, while Saul was king, you were the one who led Israel out and brought them back. And the LORD your God said, ‘You will shepherd My people Israel, and you will be ruler over them.’”","Ase engaki yaetire, nonya nekero Saulo arenge omorwoti, naye kwarenge gotang’ana Abaisraeli kobaare korwana esegi naende kobakoirana. Na Omonene, Nyasae oo, akagoteebia ng’a naye orabe omorisia bw’Abaisraeli, abanto baye, na koba omogambi igoro yabo.”","Zamani, wakati Sauli alikuwa mfalme, wewe ndiwe uliyeiongoza Israeli vitani, naye Bwana Mungu wako alikuambia, ‘Wewe utawachunga watu wangu Israeli, na utakuwa mtawala wao.’ ”",bible_ebible,39.0,34.0,25.0,,,
1CH 11:20,1CH,11.0,20.0,"Now Abishai, the brother of Joab, was chief of the Three, and he lifted his spear against three hundred men, killed them, and won a name along with the Three.","Abisai, momura omwabo Yoabu, nigo amanyekanete ase baria batato; akarwania abanto amagana atato akabaaka ne ritimo riaye, akabaita, na igo akaba nerieta rinene ase egati ya baria batato.","Abishai, ndugu yake Yoabu ndiye alikuwa kiongozi wa hao Watatu. Aliinua mkuki wake dhidi ya watu 300, ambao aliwaua, kwa hiyo naye akawa na sifa kama hao Watatu.",bible_ebible,30.0,28.0,28.0,,,
1CH 11:21,1CH,11.0,21.0,"He was doubly honored above the Three, and he became their commander, even though he was not included among the Three.","Ase baria batato ere nigo abwate ogosikwa okuya goetania abande, akaba omoraai obo, korende tareng’anetie na baria batato b’eritang’ani.","Alitunukiwa heshima maradufu ya wale Watatu, akawa jemadari wao, ingawa hakuhesabiwa miongoni mwao.",bible_ebible,21.0,19.0,13.0,,,
1CH 11:22,1CH,11.0,22.0,"And Benaiah son of Jehoiada was a man of valor from Kabzeel, a man of many exploits. He struck down two champions of Moab, and on a snowy day he went down into a pit and killed a lion.","Benaya, mosinto o Yehoyada, nigo arenge omonto etuoni korwa ase Kabuseli. Ere agakora emeremo emenene, agaita abanto babere chituoni b’Abamoabu. Engaki ende, ekero ki’obokendu na amagena ’embura yatwete, agasoa engoro agaita endo aroro.","Benaya, mwana wa Yehoyada alikuwa mpiganaji hodari kutoka Kabseeli ambaye alifanya mambo makubwa ya ujasiri. Aliwaua mashujaa wawili waliokuwa hodari kuliko wote wa Moabu. Pia alishuka shimoni kulipokuwa na theluji na kumuua simba.",bible_ebible,39.0,33.0,33.0,,,
1CH 11:23,1CH,11.0,23.0,"He also killed an Egyptian, a huge man five cubits tall. Although the Egyptian had a spear like a weaver’s beam in his hand, Benaiah went against him with a club, snatched the spear from his hand, and killed the Egyptian with his own spear.","Naende agaita Omomisiri, omonto orenge nobotambe bw’ekerengo gie chimita ibere. Omomisiri oria nigo abwate ritimo koboko kwaye, riachomeire orotanga oronene buna omwaro, korende Benaya akamochiera nenyimbo, akamoura ritimo riarenge koboko kwaye, akamoitera ne ritimo riria riaye omonyene.","Alimuua Mmisri aliyekuwa na urefu kama dhiraa tano. Ingawa Mmisri alikuwa na mkuki kama mti wa mfumaji mkononi mwake, Benaya alimwendea na rungu. Akamnyangʼanya Mmisri mkuki wake na kumuua nao.",bible_ebible,45.0,37.0,30.0,,,
1CH 11:24,1CH,11.0,24.0,"These were the exploits of Benaiah son of Jehoiada, who won a name alongside the three mighty men.","Amang’ana aya naro Benaya, mosinto o Yehoyada, akorete. Nigo anyorete erieta rinene ase egati ya baria batato.",Haya yalikuwa mambo ya ushujaa ya Benaya mwana wa Yehoyada; naye pia alikuwa maarufu kama wale mashujaa watatu.,bible_ebible,18.0,17.0,18.0,,,
1CH 11:25,1CH,11.0,25.0,"He was most honored among the Thirty, but he did not become one of the Three. And David appointed him over his guard.","Nonya osikire kobua baria Emerongo etato, tareng’anirie na baria batato. Daudi akamobeka akaba omoteneneri bw’abarendi b’obogima bwaye.","Yeye aliheshimiwa zaidi ya wale Thelathini, lakini hakujumuishwa miongoni mwa wale Watatu: Daudi akamweka kuwa kiongozi wa walinzi wake.",bible_ebible,23.0,17.0,19.0,,,
1CH 11:26,1CH,11.0,26.0,"Now these were the mighty men: Asahel the brother of Joab, Elhanan son of Dodo of Bethlehem,","Abanto chituoni b’abasikari nabwo aba: Asaeli momura omwabo Yoabu, na Elihanani, mosinto o Dodo korwa Bethlehemu.","Wale watu mashujaa walikuwa: Asaheli nduguye Yoabu, Elhanani mwana wa Dodo kutoka Bethlehemu,",bible_ebible,17.0,16.0,13.0,,,
1CH 11:27,1CH,11.0,27.0,"Shammoth the Harorite, Helez the Pelonite,",Samoti korwa Harodi na Helesi korwa Peleti;,"Shamothi Mharori, Helesi Mpeloni,",bible_ebible,6.0,7.0,4.0,,,
1CH 11:28,1CH,11.0,28.0,"Ira son of Ikkesh the Tekoite, Abiezer the Anathothite,","Ira, mosinto o Ikesi korwa Tekoa, na Abieseri korwa Anatoti;","Ira mwana wa Ikeshi kutoka Tekoa, Abiezeri kutoka Anathothi,",bible_ebible,9.0,10.0,9.0,,,
1CH 11:29,1CH,11.0,29.0,"Sibbecai the Hushathite, Ilai the Ahohite,","Sibekai korwa Husa, na Ilai korwa Ahohi;","Sibekai Mhushathi, Ilai Mwahohi,",bible_ebible,6.0,7.0,4.0,,,
1CH 11:3,1CH,11.0,3.0,"So all the elders of Israel came to the king at Hebron, where David made a covenant with them before the LORD. And they anointed him king over Israel, according to the word of the LORD through Samuel. David Conquers Jerusalem (2 Samuel 5:6–11)","Nabo abagaaka bonsi b’Abaisraeli bagacha ase omorwoti agwo Heburoni; na aroro Daudi agakora okobwatana kw’ogotianania nabarabwo ase obosio bw’Omonene, na barabwo bagaaka Daudi amaguta akaba omorwoti igoro ase Abaisraeli, koreng’ana ne ring’ana riri’Omonene akwanete goetera ase Samweli.","Wazee wote wa Israeli walipokuwa wamewasili kwa Mfalme Daudi huko Hebroni, alifanya mapatano nao huko Hebroni mbele za Bwana, nao wakamtia Daudi mafuta awe mfalme wa Israeli, sawasawa na Bwana alivyoahidi kupitia kwa Samweli. Daudi Ateka Yerusalemu",bible_ebible,44.0,37.0,37.0,,,
1CH 11:30,1CH,11.0,30.0,"Maharai the Netophathite, Heled son of Baanah the Netophathite,","Maharai korwa Netofa, na Heledi, mosinto o Baana korwa Netofa;","Maharai Mnetofathi, Heledi mwana wa Baana, Mnetofathi,",bible_ebible,9.0,10.0,7.0,,,
1CH 11:31,1CH,11.0,31.0,"Ithai son of Ribai from Gibeah of the Benjamites, Benaiah the Pirathonite,","Itai, mosinto o Ribai korwa Gibea o Benjamini, na Benaya korwa Piratoni;","Itai mwana wa Ribai kutoka Gibea ya Benyamini, Benaya Mpirathoni,",bible_ebible,12.0,12.0,10.0,,,
1CH 11:32,1CH,11.0,32.0,"Hurai from the brooks of Gaash, Abiel the Arbathite,","Hurai korwa ase amakura ang’e na Gaasi, na Abieli korwa Ariba;","Hurai kutoka mabonde ya Gaashi, Abieli Mwaribathi,",bible_ebible,9.0,11.0,7.0,,,
1CH 11:33,1CH,11.0,33.0,"Azmaveth the Baharumite, Eliahba the Shaalbonite,",Asimaweti korwa Gahurimu na Eliaba korwa Saalaboni;,"Azmawethi Mbaharumi, Eliaba Mshaalboni,",bible_ebible,6.0,7.0,4.0,,,
1CH 11:34,1CH,11.0,34.0,"the sons of Hashem the Gizonite, Jonathan son of Shagee the Hararite,","basinto ba Hasemu korwa Gisoni na Yonathani, mosinto o Sagee, korwa Harari;","wana wa Hashemu Mgiloni, Yonathani mwana wa Shagee Mharari,",bible_ebible,12.0,12.0,9.0,,,
1CH 11:35,1CH,11.0,35.0,"Ahiam son of Sachar the Hararite, Eliphal son of Ur,","Ahiamu, mosinto o Sakari korwa Harari, na Elifali, mosinto o Uri;","Ahiamu mwana wa Sakari Mharari, Elifale mwana wa Uru,",bible_ebible,10.0,11.0,9.0,,,
1CH 11:36,1CH,11.0,36.0,"Hepher the Mecherathite, Ahijah the Pelonite,",Heferi korwa Mekera na Ahiya korwa Peloni,"Heferi Mmekerathi, Ahiya Mpeloni,",bible_ebible,6.0,7.0,4.0,,,
1CH 11:37,1CH,11.0,37.0,"Hezro the Carmelite, Naarai son of Ezbai,","Hesero korwa Karimeli, na Naara, mosinto bw’Esibai;","Hezro Mkarmeli, Naarai mwana wa Ezbai,",bible_ebible,7.0,7.0,6.0,,,
1CH 11:38,1CH,11.0,38.0,"Joel the brother of Nathan, Mibhar son of Hagri,","Yoel, momura omwabo Nathani, na Mibihari, mosinto o Hagiri.","Yoeli nduguye Nathani, Mibhari mwana wa Hagri,",bible_ebible,9.0,9.0,7.0,,,
1CH 11:39,1CH,11.0,39.0,"Zelek the Ammonite, Naharai the Beerothite, the armor-bearer of Joab son of Zeruiah,","Seleki korwa Amoni na Naharai korwa Beroti, omobogoria ebirwanero bia Yoabu, omomura bw’omokuungu Seruya;","Seleki Mwamoni, Naharai Mbeerothi, mbeba silaha wa Yoabu mwana wa Seruya,",bible_ebible,13.0,14.0,11.0,,,
1CH 11:4,1CH,11.0,4.0,"Then David and all the Israelites marched to Jerusalem (that is, Jebus), where the Jebusites inhabited the land.","Daudi amo n’Abaisraeli bonsi bakagenda Yerusalemu, noro Yebusi, ase Abayebusi, abanto b’ense eria, barenge.",Daudi na Waisraeli wote wakaenda Yerusalemu (ndio Yebusi). Nao Wayebusi walioishi humo,bible_ebible,18.0,14.0,12.0,,,
1CH 11:40,1CH,11.0,40.0,"Ira the Ithrite, Gareb the Ithrite,",Ira na Garebu korwa Itiri;,"Ira Mwithiri, Garebu Mwithiri,",bible_ebible,6.0,5.0,4.0,,,
1CH 11:41,1CH,11.0,41.0,"Uriah the Hittite, Zabad son of Ahlai,","Uria Omohiti na Sabadi, mosinto bw’Alai,","Uria Mhiti, Zabadi mwana wa Alai,",bible_ebible,7.0,6.0,6.0,,,
1CH 11:42,1CH,11.0,42.0,"Adina son of Shiza the Reubenite, chief of the Reubenites, and the thirty with him,","Adina, mosinto o Sisa bw’egesaku kia Rubeni, omoraai bw’abaanto b’egesaku ekio, na amo nere abanto emerongo etato;","Adina mwana wa Shiza Mreubeni, ambaye alikuwa mkuu wa Wareubeni, akiwa pamoja na watu thelathini,",bible_ebible,15.0,17.0,15.0,,,
1CH 11:43,1CH,11.0,43.0,"Hanan son of Maacah, Joshaphat the Mithnite,","Hanani, mosinto o Maaka na Yosafati korwa Mitani;","Hanani mwana wa Maaka, Yoshafati Mmithni,",bible_ebible,7.0,8.0,6.0,,,
1CH 11:44,1CH,11.0,44.0,"Uzzia the Ashterathite, Shama and Jeiel the sons of Hotham the Aroerite,","Usia korwa Asitera; Sama na Yeieli, basinto ba Hotamu korwa Aroeri;","Uzia Mwashterathi, Shama na Yeieli wana wa Hothamu Mwaroeri,",bible_ebible,12.0,11.0,9.0,,,
1CH 11:45,1CH,11.0,45.0,"Jediael son of Shimri and his brother Joha the Tizite,","Yediaeli, mosinto o Simuri, na Yoha, momura omwabo, omonto o Tisi;","Yediaeli mwana wa Shimri, nduguye Yoha Mtizi,",bible_ebible,10.0,11.0,7.0,,,
1CH 11:46,1CH,11.0,46.0,"Eliel the Mahavite, Jeribai and Joshaviah, the sons of Elnaam, Ithmah the Moabite,","Elieli korwa Mahawa Yeribai na Yosawia, basinto b’Elinamu, na Itima korwa Moabu;","Elieli Mmahawi, Yeribai na Yoshavia wana wa Elnaamu, Ithma Mmoabu,",bible_ebible,13.0,12.0,10.0,,,
1CH 11:47,1CH,11.0,47.0,"Eliel, Obed, and Jaasiel the Mezobaite.","Elieli, na Obedi, na Yaasieli korwa Soba.","Elieli, na Obedi na Yaasieli Mmesobai.",bible_ebible,6.0,7.0,6.0,,,
1CH 11:5,1CH,11.0,5.0,"The people of Jebus said to David, “You will never get in here.” Nevertheless, David captured the fortress of Zion (that is, the City of David).","Abanto ba Yebusi bakamoteebia, “Aye tokonyara gocha aiga nonya ng’ake.” Korende nonya naboigo, Daudi akabua eburi ya Sayoni, oyio noro Omochie o Daudi.","wakamwambia Daudi, “Wewe hutaingia humu.” Hata hivyo, Daudi akaiteka ngome ya Sayuni, Mji wa Daudi.",bible_ebible,26.0,23.0,15.0,,,
1CH 11:6,1CH,11.0,6.0,"Now David had said, “Whoever is the first to strike down a Jebusite will become chief commander.” And Joab son of Zeruiah went up first, and he became the chief.","Daudi konya oteebire, ng’a “Monto onde bwensi orabe oyo bw’eritang’ani goita abanto ba Yebusi, ere oyio nabe omochiki omonene bw’abarwani.” Yoabu, omomura bw’omokuungu Seruya, akaba oyo bw’eritang’ani kogenda aroro; ase ayio ere akaba omochiki.","Daudi alikuwa amesema, “Yeyote aongozaye mashambulizi dhidi ya Wayebusi, atakuwa jemadari mkuu.” Yoabu mwana wa Seruya akawa wa kwanza kukwea, naye akawa mkuu.",bible_ebible,30.0,34.0,23.0,,,
1CH 11:7,1CH,11.0,7.0,So David took up residence in the fortress; that is why it was called the City of David.,"Daudi akaba okomenya ase eburi eria enkong’u, ase ayio ekarokwa Omochie o Daudi.","Daudi akafanya makao yake kwenye ngome, hivyo ukaitwa Mji wa Daudi.",bible_ebible,18.0,13.0,11.0,,,
1CH 11:8,1CH,11.0,8.0,"He built up the city around it, from the supporting terraces to the surrounding wall, while Joab restored the rest of the city.","Erio akaagacha omochie goetanana onsi korwa Milo, okaba egesingo kegima; na Yoabu akaroisia omochie ase konya otagokire.","Akajenga mji pande zote, kuanzia kwenye mito hadi kwenye ukuta kuzunguka, wakati huo huo Yoabu akajenga sehemu zingine zilizobaki za Yerusalemu.",bible_ebible,23.0,17.0,21.0,,,
1CH 11:9,1CH,11.0,9.0,"And David became greater and greater, for the LORD of Hosts was with him. David’s Mighty Men (2 Samuel 23:8–39)","Daudi akamenta koba omonene, na koba nokobua, ekiagera Omonene bw’Emeganda nigo arenge amo nere. Abarwani chituoni ba Daudi (2 Sam 23:8-9)","Daudi akazidi kuwa na nguvu zaidi na zaidi, kwa sababu Bwana Mwenye Nguvu Zote alikuwa pamoja naye. Mashujaa Wa Daudi (2 Samweli 23:8-39)",bible_ebible,20.0,21.0,23.0,,,
1CH 12:1,1CH,12.0,1.0,"Now these were the men who came to David at Ziklag, while he was still banished from the presence of Saul son of Kish (they were among the mighty men who helped him in battle;","Daudi nigo amenyete Sikilagi, ekero arenge kwebisa korwa ase Saulo, mosinto o Kisi. Abanto chituoni abarenge komokonya ase esegi bagacha asare.","Hawa ndio watu waliomjia Daudi huko Siklagi, wakati alikuwa amefukuzwa mbele ya Sauli mwana wa Kishi (walikuwa miongoni mwa mashujaa waliomsaidia Daudi vitani,",bible_ebible,35.0,21.0,23.0,,,
1CH 12:10,1CH,12.0,10.0,"Mishmannah the fourth, Jeremiah the fifth,","na Misimana oyo o kane, na Yeremia oyo o gatano,","Mishmana wa nne, Yeremia wa tano,",bible_ebible,6.0,10.0,6.0,,,
1CH 12:11,1CH,12.0,11.0,"Attai the sixth, Eliel the seventh,","na Atai oyo o gatano na rimo, na Elieli oyo o gatano na kabere,","Atai wa sita, Elieli wa saba,",bible_ebible,6.0,14.0,6.0,,,
